chr	startpos	endpos	nMajor	nMinor
1	61735	156702010	1	1
1	156709407	157110875	1	0
1	157113750	157618602	0	0
1	157621560	159544391	1	0
1	159545505	248930189	1	1
2	12784	155456532	1	1
2	155474737	155507581	1	0
2	155510424	242147305	1	1
3	18667	198169247	1	1
4	12281	190106768	1	1
5	15532	91912201	1	1
5	91935646	130398281	1	0
5	130402093	181363319	1	1
6	149661	82097166	1	1
6	82099139	124283352	1	0
6	124283774	170741917	1	1
7	43259	159334314	1	1
8	81254	41727713	1	0
8	41727866	145072769	1	1
9	46587	30647407	1	1
9	30647720	30957652	2	1
9	30962582	138200944	1	1
10	26823	133769379	1	1
11	198572	44246107	1	1
11	44252786	45754974	1	0
11	45755400	59216030	1	1
11	59221573	108575470	2	1
11	108576871	117511553	1	1
11	117512420	118127362	1	0
11	118129392	135074876	1	1
12	51460	34327317	1	0
12	34328601	133201603	1	1
13	18452809	33618652	1	1
13	33618981	83851181	1	0
13	83854518	114342922	1	1
14	18225647	22077526	1	1
14	22078084	22508844	2	1
14	22509094	106877229	1	1
15	19811075	65215261	1	1
15	65217453	65390216	2	1
15	65397386	101928837	1	1
16	10777	90221127	1	1
17	150733	83090856	1	1
18	48133	80257174	1	1
19	90910	58586487	1	1
20	80664	64324800	1	1
21	10336543	41483754	1	1
21	41484285	46677045	1	0
22	15294545	42350681	1	1
22	42350871	50796027	1	0
X	251810	2776199	1	1
X	2785350	155743750	1	0
X	155747786	156004181	1	1
