"Time","Clonality","Clonal_fraction","Event","Chromosome","Start","End","Type","CN_parent","CN_child"
0.204452054794521,"clonal",1,"missegregation:+15","15",1,102000000,"+",2,3
0.237842465753425,"clonal",1,"missegregation:+10","10",1,134000000,"+",2,3
0.272260273972603,"clonal",1,"missegregation:+7","7",1,159500000,"+",2,3
0.312842465753425,"clonal",1,"missegregation:+7","7",1,159500000,"+",3,4
0.343664383561644,"clonal",1,"missegregation:+11","11",1,135500000,"+",2,3
0.378082191780822,"clonal",1,"missegregation:+16","16",1,90500000,"+",2,3
0.439212328767123,"clonal",1,"missegregation:+8","8",1,145500000,"+",2,3
0.474143835616438,"clonal",1,"missegregation:+15","15",1,102000000,"+",3,4
0.532705479452055,"clonal",1,"missegregation:+18","18",1,80500000,"+",2,3
0.603595890410959,"clonal",1,"missegregation:+16","16",1,90500000,"+",3,4
0.697602739726027,"subclonal",0.049,"missegregation:+18","18",1,80500000,"+",3,4
0.769520547945206,"subclonal",0.049,"missegregation:+9","9",1,138500000,"+",2,3
0.659075342465753,"subclonal",0.951,"missegregation:-12","12",1,133500000,"-",2,1
0.732534246575342,"subclonal",0.951,"missegregation:+2","2",1,242500000,"+",2,3
0.772602739726027,"subclonal",0.951,"missegregation:+22","22",1,51000000,"+",2,3
0.80958904109589,"subclonal",0.951,"missegregation:+18","18",1,80500000,"+",3,4
0.99708904109589,"subclonal",0.001,"missegregation:-16","16",1,90500000,"-",4,3
